sentence,nutrient,pmid,label
"relationship between prepregnancy bmi and the concentrations of iron, calcium, and magnesium in serum and hair during the first trimester of pregnancy in women.",iron,38262193,3
"a comparative study of iron metabolism was conducted in pregnant women for three peruvian localities of different elevations: lima (sea level), la oroya (3.700 m) and puno (3.900 m).",iron,8929087,3
"in addition, appropriate iron levels and the need for iron and nutritional supplements at different stages of life and pregnancy are discussed.",iron,37023911,3
"methods: fifteen pregnant women ingested an oral stable iron isotope (57fe) in the second trimester (t2) of pregnancy (weeks 14-16) to label the rbc pool, and a second oral stable isotope (58fe) in the third trimester (t3) (weeks 32-35).",iron,35102365,3
many women go through the entire pregnancy without attaining the minimum required intake of iron.,iron,25719576,3
objective: the aim of this study was to elucidate the cause and results of contractions occurring in term pregnant women receiving intravenous iron therapy.,iron,39045930,3
"the main aims of this study were to 1) describe the concentrations and patterns of essential and toxic elements measured in maternal whole blood during pregnancy; 2) identify dietary, lifestyle and sociodemographic determinants of element status; and 3) explore the impact of iron deficiency on blood element concentrations.",iron,30928759,3
"this study demonstrates that increased iron consumption during pregnancy may improve infant birth weight for mothers who are gstm1-present, but it might not be beneficial for mothers with the gstm1-null genotype.",iron,23173169,3
this study was conducted in spain (developed country) where: the general population is well-nourished; during pregnancy routine obstetrical checks are carried out; and pregnant women are systematically iron supplemented.,iron,21256683,3
over 50% of pregnant women are anemic and the majority of these are iron deficient.,iron,37538013,3
"the study identified the causal link between iron status and apos, offering new insights to the clinical research on iron status-related pregnancy outcomes.",iron,40106219,3
systematic review to investigate the safety of induction and augmentation of labour among pregnant women with iron-deficiency anaemia.,iron,30573478,3
"conclusion: based on the experimental effects of education encouraging iron supplementation in pregnant women, it is suggested that workshops promoting iron supplementation should be conducted in health centers with the aim of preventing widespread iron deficiency anemia.",iron,29991197,3
conclusion: iron status prior to supplementation and low-grade inflammation associated with bmi > 25 kg/m(2) and excess weight gain during pregnancy appear to modulate the effectiveness of iron supplementation.,iron,32613329,3
"introduction: the iron supplementation program for pregnant women is the main program for tackling anemia in various countries, especially in developing countries in which daily diets may lack sufficient iron intake.",iron,39352168,3
"in this study, 143 (71.5%) of the pregnant women started their iron folate supplement in the second and third trimester.",iron,31308638,3
"the risk for iron deficiency at the end of pregnancy was higher for ob than for lc (or = 4.45, 95% ci = 2.07-9.58) after adjusting for iron supplementation and hepcidin concentration.",iron,28262197,3
"as they enter pregnancy, more than one-third will be anemic, >80% will have inadequate iron stores, and more than one-tenth will be folate deficient.",iron,19403710,3
"this comprehensive review utilized a systematic literature review to collect pertinent material for the article from scopus and web of science databases, ensuring scientific credibility, transparency, and comprehensiveness regarding behavioral interventions promoting increased iron, calcium, and vitamin d consumption among pregnant women.",iron,40271244,3
"traditionally, gestational anaemia has been prevented with daily iron supplements throughout pregnancy, but adherence to this regimen due to side effects, interrupted supply of the supplements, and concerns about safety among women with an adequate iron intake, have limited the use of this intervention.",iron,26482110,3
iron absorption from two of the supplements was substantially less than the 3.5 mg recommended for the prevention of iron deficiency during pregnancy.,iron,4009554,3
"this review identifies critical dietary deficiencies common in vegan diets, including inadequacies in vitamin b12, iron, calcium, vitamin d, iodine, zinc, and omega-3 fatty acids, and explores strategies to mitigate these risks.",iron,39936826,3
[should pregnant women take iron supplementation?].,iron,16932786,3
"gestational age was negatively associated with high waist circumference (or, 95% ci 0.87 (0.80-0.95)) and iron supplementation in the third pregnancy trimester negatively association with high tg levels (or, 95% ci 0.34 (0.12-0.91)).",iron,39907059,3
"in pregnancy, both ckd and iron deficiency anemia increase the risk of adverse maternal and neonatal outcomes, including increased maternal morbidity and mortality, stillbirth, perinatal death, preterm birth, and low birthweight.",iron,38707831,3
conclusion: iron supplementation decreases the risk of maternal anemia and increases the likelihood of infant survival among iron-deficient tanzanian pregnant women.,iron,27121530,3
objective: to assess the acceptance of multiple micronutrient supplements and current iron and folic acid supplement utilisation among pregnant and lactating women in rural ethiopia.,iron,39842926,3
a decrease in the solvent polarity increases the charge transfer from the oxygen of the alcohol to the iron ions.,iron,18826271,3
"specifically, micronutrient deficiencies in iron, vitamin a, iodine and folate have been of greatest public health concern among pregnant women.",iron,39556557,3
"the protonation of the alcohol moiety is a prerequisite for the stabilization of the oxoiron(iv) core; it presumably serves as a hydrogen bonding donor to the oxoiron(iv) unit, which is positioned syn to the three methyl groups.",iron,40028930,3
"the low stfr concentration in early gestation seems to be caused by reduced erythropoiesis, whereas the increase from early to late pregnancy reflects increased erythropoiesis, and in case of iron deficiency, also tissue iron deficiency.",iron,9846853,3
"response of hemoglobin, serum ferritin, and serum transferrin receptor during iron supplementation in pregnancy: a prospective study.",iron,15474878,3
in present study serum iron was significantly increased in 2nd and 3rd trimester of pregnancy that was supplemented with iron when compared with the same category of women who were not supplemented with iron.,iron,17703147,3
the iron levels were evaluated in 124 pregnant women towards the end of their pregnancies and in their newborn babies in 4 maternity units in paris and in the surroundings.,iron,6530517,3
"we aimed to provide current evidence of relationships between selected micronutrients (vitamin d, vitamin a, iron, folate, vitamin b12) and adverse pregnancy outcomes, combined with understanding of actions on the placenta.",iron,29844225,3
a1c but not serum glycated albumin is elevated in late pregnancy owing to iron deficiency.,iron,18599529,3
maternal serum ferritin concentration is positively associated with newborn iron stores in women with low ferritin status in late pregnancy.,iron,23014493,3
"conclusion: micronutrients such as calcium, folic acid, iron, vitamin d, and iodine are critical in early fetal development from pregnancy onward.",iron,37940505,3
"number of pregnant women with iron-deficiency anemia was considerably higher in both groups (adolescents and adults) in the third trimester, and quantity of ferritin was at the lower border of the norm.",iron,16905803,3
"however, data on the vitamin d status of young african children and its environmental and genetic predictors are limited.",iron,34011341,4
"among 0- to 6-year-olds, iron deficiency (id) was 7.2-39.4 % in rural and 16-41.9 % in urban areas.",iron,39428657,4
serum 25-hydroxyvitamin d concentrations and atopic dermatitis in early childhood: findings from the japan environment and children's study.,iron,34444921,4
"tissue zinc (zn), copper (cu) and iron (fe) were determined in three groups of young male wistar rats that received a daily pyridoxine hydrochloride (pn.hcl) intake of 45, 23 and 0 micrograms respectively in their diets over 8 weeks.",iron,9129252,4
weight loss in individuals with overweight or obesity and iron deficiency anemia is believed to be associated with an improvement in iron status however the evidence from clinical trials is scarce.,iron,37284649,4
"we found differences in nutrients and food groups by wg group: there was a significant linear trend across groups of increasing wg for increased fiber (children and adults), vitamin b6 (children), thiamin (adults), potassium (children and adults), zinc (adults), calcium (children and adults), iron (children and adults), magnesium (children and adults), fruit (adults), and legumes, nuts and seeds (adults); and decreased total fat (adults), saturated fat (adults), folate (children and adults), refined grains (adults and children), and meat and poultry (adults) intake.",iron,34197483,4
"the fourth includes basic research to elucidate physiological processes and mechanisms underlying the risks and benefits of supplemental iron for children exposed to infectious diseases, especially malaria.",iron,19022987,4
"in a well conducted randomized double blind placebo controlled trial, a dietary supplement in the form of a fortified powder fruit drink produced statistically significant differences not only in vitamin a and iron status, but also in the growth of young school age children.",iron,11688080,4
"both cd-exposed btzip8-3 and wt were similar in lower urinary ph; increased plasma alanine and aspartate aminotransferase activities; elevated iron and copper content in liver, kidney, lung, and testis; and higher blood urea nitrogen and kidney weight.",iron,24345748,4
"it was concluded that environmental exposure to cadmium is associated with an increased loss of bone mineral density in both males and females, leading to osteoporosis and increased risk of fractures, especially in the elderly and in females.",iron,12619941,4
"in female rats, the 24-month-old group had higher contents of thiobarbituric acid reactive substances compared with their 12-month-old counterparts, yet similar contents of labile iron.",iron,39422319,4
"data on hypothyroidism among adult females are essential to understand the underactive status of the thyroid gland among the female population and its correlated effects on a deficiency of vitamin d and iron, as effective prevention of osteoporotic changes and iron deficiency anemia is possible.",iron,37153231,4
estimating the prevalence of preoperative iron deficiency and its impact on red blood cell transfusion in adolescents undergoing scoliosis surgery: a pilot study.,iron,40191932,4
red cell and iron status parameters were studied in a group of 44 children undergoing tonsillectomy for recurrent throat infections and in a control group of 40 healthy children.,iron,3223258,4
we present the case of a 53-year-old woman with psoriatic arthritis who exhibited iron-deficiency anemia unresponsive to oral iron and persistent dysphagia.,iron,39530570,4
there is little data on electric iron contact burns (non-electrocution) in children and an absolute lack of literature dealing with accidental fatalities from electric irons.,iron,40138512,4
"methods: case reports and case series reporting micronutrient deficiencies in children with asd published from 2014 to 2025 were identified through pubmed and sciencedirect using search terms ""autism and deficiency"" and ""autism and vitamin a, k, magnesium, iron deficiency"".",iron,40290005,4
the who estimates that 41% of women and 27% of children suffer from anemia due to iron deficiency.,iron,21367936,4
"serum iron, ferritin, transferrin, total iron binding capacity, hs-crp, ldl cholesterol and magnesium in children; new reference intervals using the dade dimension clinical chemistry system.",iron,15026283,4
additional strategies to increase iron may be warranted in female athletes.,iron,39074188,4
detection of ret-he can advance the diagnosis of iron deficiency in female blood donors to the ide stage.,iron,39479846,4
"uptake of circulating iron by the duodenum of normal mice and mice with altered iron stores, including sex-linked anemia: high resolution radioautographic study.",iron,180329,4
iron deficiency in the elderly almost always results from blood loss.,iron,3322440,4
pylori-related changes in gastric physiology and histology and the relationship of these changes to iron deficiency anemia in children.,iron,14734875,4
"the role of seminal lactoferrin, an iron-binding glycoprotein, in male fertility is unclear and needs further investigation.",iron,39831091,4
"we aimed to assess multiple micronutrient status (iron, zinc, selenium, vitamin a, vitamin d, folate and vitamin b12) in young indian children and to investigate the role of these seven micronutrients and other non-nutritional factors on hemoglobin concentrations and anemia.",iron,30735503,4
the children fed the probiotic milk beverage exhibited higher red blood cell status and a positive correlation between iron intake and hemoglobin.,iron,19083412,4
"in this study, we aimed to determine the most effective dose and duration of iron supplementation for improving haemoglobin (hb) levels in children and adolescents (</=19 years) with ida.",iron,39951396,4
low hemoglobin levels (or 0.52) or iron deficiency (or 0.86) had a negative impact on child outcome.,iron,37802469,4
"objective: to investigate blood lead level and its relationship to copper, zinc, calcium, magnesium and iron in the children aged 0 to 14 years old from beijing, china.",iron,21601238,4
"total fecal iron was increased and, therefore, apparent iron absorption was decreased in the male exercise group as calculated from an iron and copper balance study conducted during week 8 of the exercise period.",iron,7277036,4
"iron is a key nutrient and is essential for the developing fetus, neonate, infant, and child.",iron,29268254,4
the role of health literacy in the relationship between mothers' knowledge and practices of iron supplementation in children (aged 12 to 24 months): a structural equation model.,iron,40179053,4
"objectives: acute leukemia (al) presents significant health challenges, particularly in children, and iron plays a critical role in cellular processes that could influence cancer development.",iron,40045744,4
"furthermore, children born to iron-treated mothers have higher serum ferritin levels than those born to placebo-treated mothers.",iron,10535335,4
the birth weight of children born to women who received iron prophylaxis was increased by an average of 56 g.,iron,7992349,4
risk factors of anaemia and iron deficiency in somali children and women: findings from the 2019 somalia micronutrient survey.,iron,34405549,4
"individuals with a diagnosis of whipple's disease were more likely to have associated diagnoses/findings of arthritis, cns disease, endocarditis, diabetes, malignancy, dementia, vitamin d deficiency, iron deficiency, chemotherapy, weight loss, abdominal pain, and lymphadenopathy.",iron,30488239,4
the association analysis showed that children with calorie share relative to upf had a decrease of -0.12 mg of bioavailable iron (beta: -0.12; 95 % ci: -0.23; -0.01).,iron,39734015,4
"we present contrast media classes and their use in children, discuss safety concerns and complications, and explore environmental impacts.",iron,39602099,4
"anemic (hemoglobin (hb) less than 13 g/dl in male and less than 12 g/dl in female) critically ill adult patients hospitalized for at least five days had an iron profile taken at discharge, d28 and m6.",iron,25529060,4
the ida female rat model was established with low iron diet and the rats were then mated.,iron,33446747,4
"objectives: centre-based childcare has been identified as a promising environment for obesity prevention in early childhood, but the longitudinal relationships between attending centre-based childcare and child obesity are not well understood.",iron,39122383,4
these findings highlight the need for further research into the possible connection between serum iron status and female infertility risk.,iron,39470534,4
background: iron deficiency anemia affects hundreds of millions of women and children worldwide and is associated with impaired infant outcomes.,iron,32006028,4
objectives: this study examined the relationship between gestational 25(oh)d concentrations and childhood behavior in the environmental influences on child health outcomes (echo) program.,iron,37147034,4
"hypophosphatemia rates ranged from 0.0% to 92.1% for ferric carboxymaltose (fcm), 0.0% to 40.0% for iron sucrose, 0.4% for ferumoxytol, and 0.0% for low-molecular-weight (lmw) iron dextran.",iron,32308402,4
"in a double-blind controlled trial, south african school children with low iron status (n = 200) were randomized to receive either the mnp or the unfortified carrier added just before consumption to a high-phytate maize porridge 5 d/wk for 23 wk; primary outcomes were iron and zinc status and a secondary outcome was somatic growth.",iron,21178093,4
"case report: a 40-year-old female with past medical history of iron-deficiency anemia, asthma, and von willebrand disease and allergies to both oral and intravenous (iv) iron presented to the ed with one day of acute and severe abdominal pain associated with nausea and vomiting.",iron,39903611,4
"better hematologic status of a group of preschool-aged infants who were enrolled in the wic program from birth, as compared with another group of similar age and socioeconomic status from the pre-wic program era, suggests that participation in the wic program will help limit the development of iron depletion or iron deficiency anemia in young children, an important consideration in view of the deleterious hematologic and nonhematologic effects that have been attributed to those conditions.",iron,3966032,4
"this study aims to evaluate changes in inflammatory process, iron metabolism, erythropoiesis, and lipid profile associated with weight loss after gastric banding surgery.",iron,24177986,4
forty percent of the non-trait carrier donors who underwent pad received iron therapy in preparation for bm hsc donation; only 4.8% of the pediatric and none of the adolescents had hemoglobin values below the age limit at donation.,iron,39621892,4
"an extensive literature review was conducted to identify whether iron deficiency, iron-deficiency anemia and anemia from any cause are causally related to low birth weight, preterm birth or perinatal mortality.",iron,11160592,4
"the present research aimed to determine the effect of prebiotics along with iron fortification on iron biomarkers in female anemic rats as some evidence suggests that prebiotics convert increase the solubility of iron, thereby enhancing its absorption.",iron,39879502,4
"in older adults, the odi was associated with iron deficit malnutrition (idm) (adjusted-p = 0.005, eta(2) = 0.06) and both the odi and ph were associated with vitamin b deficit (vbd) (adjusted-p = 0.037, eta(2) = 0.01; adjusted-p = 0.049, eta(2) = 0.01).",iron,40142224,4
"one review indicated that hb levels increased for children who were anaemic or had ida and received iron supplementation, and decreased for those who received dietary interventions.",iron,34564844,4
"in the subgroup of studies that included anemic/iron deficient children, supplementation significantly increased the hemoglobin concentration (weighted mean difference (wmd): 3.19 g/l [95% ci: 1.31, 5.07]) and induced a significantly greater reduction of the soluble transferrin receptor (wmd: -0.46 mg/l [95% ci: -0.70, -0, 21]), when compared to dietary intervention.",iron,29611716,4
we performed sex-stratified multivariable cox regression to estimate the risk of infection for iron-deficient donors compared with iron-replete donors.,iron,39807019,4
"objective: to describe the anemia and iron deficiency in children and verify possible associations with dietary practices, nutritional status and inflammatory markers.",iron,40181297,4
"the subgroup analysis of nafld showed that the or for the highest quantile of iron in children with nafl was 2.21 (95% ci 1.26 to 3.88), while no significant association was observed between iron level and nash.",iron,38970517,4
"furthermore, ascorbate cycling across the plasma membrane is responsible for ascorbate-stimulated iron uptake from low-molecular-weight iron-citrate complexes, which are prominent in the plasma of individuals with iron-overload disorders.",iron,25048971,4
critical vitamin d and iron intakes in infants aged 6-11 months: results from the nationwide german kiesel study.,iron,40034734,4
"study design: this open-label rct randomized patients with ida (hemoglobin [hgb] <10 g/dl and ferritin <30 ng/ml) at 24 to 34 weeks' to oral iron or single 1,000-mg dose of iv low-molecular weight iron dextran over one hour.",iron,34839481,4
"in the elderly iron overload model, iron deposition, inflammatory cell infiltration, and cell death were significantly increased (p < 0.0001).",iron,39971277,4
"to fill the gaps in the current literature, this study aimed to investigate the relationship between six metallic elements: manganese (mn), copper (cu), zinc (zn), calcium (ca), magnesium (mg), and iron (fe), and tl in the whole blood of children with asd.",iron,40191747,4
"children who do not consume enough iron have decreased growth, reduced immunity, and poor cognitive development.",iron,39487304,4
"prolonged iron deficiency anemia (ida) is linked to adverse neurodevelopmental outcomes, but the duration of severe ida (hemoglobin <7 g/dl) in children is poorly studied, particularly for racial/ethnic minority groups.",iron,39641630,4
"background: anemia, iron deficiency (id), and iron deficiency anemia (ida) among young children are public health concerns in developing countries.",iron,29901736,4
"married women, those in urban location, and those aged 20-29 years were more compliant with iron supplementation.",iron,17111751,4
"methods: this was a randomized, cross-over, controlled-feeding trial in healthy male subjects (n = 10, mean +/- sd age: 22.4 +/- 5.4 y, weight: 87.3 +/- 10.9 kg) with sufficient iron status (serum ferritin 77.0 +/- 36.7 ng/ml).",iron,33184627,4
"the critical role of the embryo culture environment is well-recognized, with proven effects on ivf success rates and child outcomes, such as birth weight.",iron,39585967,4
we analyzed the nutrition status of zinc and iron at age 18 mo in infants who consumed the fortified cow's milk.,iron,14962682,4
the irony of iron pill gastritis: a case of delayed recognition and persistent injury in an elderly patient.,iron,39553022,4
"objective: this article aimed to familiarize physicians with the clinical manifestations, diagnosis, evaluation, prevention, and management of children with iron deficiency anemia.",iron,37497686,4
"to report a case of iron overload secondary to xerocytosis, a rare disease in a teenager, diagnosed, by t2* magnetic resonance imaging.",iron,24488397,4
"random forest machine learning determined variable importance for the incorporation of key biomarkers (age, sex, race, bmi, hba1c, pfg, insulin, total cholesterol, ldl-cholesterol, hdl-cholesterol, triglycerides, alt, ast, alp, albumin, ggt, ldh, iron, total bilirubin, total protein, uric acid, bun, and hs-crp) into logistic regression models predicting steatosis (masld indicated by a controlled attenuation parameter score of >238 db/m) and stiffness (hepatic fibrosis indicated by a median liver stiffness >7 kpa).",iron,39980343,4
"newly diagnosed children between october 2018 and december 2020 at two south african pediatric oncology units (pous) were assessed for nutritional and micronutrient status (vit a, vit b12, vit d, folate, and iron).",iron,36940097,4
"objectives: the aim of this study was to determine the prevalence of anaemia and associated factors such as sex, age and iron deficiency among blood donors in eastern morocco in order to improve donor management practices.",iron,39948728,4
"results: without fortification, apparent inadequacy of household diets for meeting micronutrient requirements exceeded 70% for vitamin a, thiamin, riboflavin, folate, and zinc, was 61% for iron among wra (43% among children), and was ~25% for vitamin b12.",iron,39822945,4
"a case-control study was performed, where the sera of 182 thin children (cases) and 393 normal bmi children (controls) were tested for levels of iron, ferritin, vitamin d, zinc, selenium, and copper.",iron,34528520,4
"we therefore measured the haematological parameters monitored in the athlete biological passport (abp) as well as erythropoietin, serum markers of iron and inflammatory statuses (iron, ferritin, transferrin, transferrin saturation, albumin, creatinine, total protein, interleukin-6 and tnf-alpha) in 20 highly trained female athletes: 10 with normal menstrual cycle (nmc) during the early follicular and mid-luteal phases and 10 using a combined oral contraceptive (coc, i.e., ethinyloestradiol and levonorgestrel) during active and inactive hormone intake.",iron,39911023,4
"there was response to the controversial findings about the effect of environment factors, such as season and month of birth, and future anthropometric indices, such as obesity, weight, height, and birth weight.",iron,32353858,4
"methods: we did a double-blind, randomised, placebo-controlled trial of iron supplementation in children aged 6 months to 12 years living with hiv at two sites (ie, kampala and fort portal, uganda).",iron,39401504,4
"87 female participants aged 18-45 years with hemoglobin < 10 g/dl and serum ferritin < 20 ng/ml were assigned to receive iron therapy every other day, once daily, or twice daily.",iron,40224701,4
"atomic absorption spectrophotometry was employed in an evaluation of zinc, copper and iron as trace elements in serum and erythrocytes from 56 children with protein-calorie malnutrition at different stages (early kwashiorkor, kwashiorkor and marasma).",iron,121914,4
"compared with the hsc treatment, the tnc, actm100, and itm+actm25 treatments resulted in increased (p < 0.05) body weight; tibia weight; tibia ash, phosphorus, iron, and manganese contents; secondary antibody titers; and serum tac and sod values but decreased (p < 0.05) serum mda concentrations and the expression levels of the hepatic genes il-1beta, il-6, and inf-gamma.",iron,39356694,4
the effect of iron deficiency anemia on emergency department admission in asthmatic children.,iron,39660947,4
"vitamin d, iron and calcium are important nutrients to protect the bone health of female military personnel due to increased risk of stress fracture.",iron,34452842,4
"intakes of calcium, magnesium, iron, zinc and copper were below recommended intakes for some age-sex groups.",iron,8811790,4
evaluation and management of iron deficiency in children undergoing intestinal rehabilitation-a position paper from the naspghan intestinal rehabilitation special interest group.,iron,36800275,4
we hypothesise that newborns of women resident in the 21 multiple micronutrient supplementation districts will have higher mean birth weight than newborns of women resident in the 21 iron-folic acid supplementation districts.,iron,39915025,4
conclusion: ret-he is a perfect predictor for latent iron deficiency in female blood donors.,iron,39479846,4
"objective: to use the prevalence of prenatal/infancy interglobular dentine (igd) as a proxy for suboptimal vitamin d status and explore its link to mortality, biological sex, cultural behaviours and environmental factors during the end of the pre-industrial/ beginning of the industrial period.",iron,39146828,4
these findings add to the body of evidence suggesting sex differences in pad and highlight a possible role of iron (directly or indirectly) in this relationship.,iron,39923542,4
"we have analyzed concentrations of magnesium (mg), calcium (ca), copper (cu), zinc (zn) and iron (fe) in hair of a group of 82 children with mental retardation, in which 9 patients suffered from epilepsy, 18 from the down's syndrome and 55 from cerebral palsy.",iron,28612063,4
"in addition, calcium, magnesium, iron, and manganese were low in the diets of teenage girls; calcium, magnesium, and iron were low in the diets of adult women; calcium, magnesium, and zinc were low in the diets of older women; calcium and zinc were low in the diets of 2-year-olds; and magnesium was low in the diets of teenage boys and older men.",iron,1991931,4
"findings: between march 1, 2021, and march 7, 2022, 1300 children were randomly assigned to the iron-folic acid plus multiple micronutrients group (n=648) or the iron-folic acid alone group (n=652).",iron,40021307,4
"in adolescents, iron supplementation improved hemoglobin concentration and lowered anemia risk.",iron,39798864,4
"results: iron overload, redox imbalance, and generalized inflammation were evident in children with beta-tm.",iron,39448817,4
"the calcium, magnesium, zinc, iron, and copper content found in scalp hair of 40 children with mental retardation were compared with 37 healthy normal children who were between the ages of 4 and 14 yr.",iron,3196075,4
"meanwhile, preclinical studies support associations between magnesium status, sleep quality, and symptoms of anxiety.",magnesium,38817505,0
our patients also manifested disturbances of calcium and magnesium homeostasis.,magnesium,11834771,0
"they exhibited significant lower levels of zinc and magnesium, alongside higher levels of copper.",magnesium,39253565,0
conclusion: adult nigerian asthmatics have lower plasma magnesium concentrations compared to healthy controls.,magnesium,14640172,0
"mineral composition analysis showed barley had a plentiful quantity of calcium (43.97 +/- 0.06 mg/100 g), phosphorus (350.58 +/- 1.39 mg/100 g) and sodium (36.31 +/- 0.95 mg/100 g); whereas, pearl millet had higher iron (7.81 +/- 0.05 mg/100 g), potassium (306.33 +/- 3.2 mg/100 g) and magnesium (135.61 +/- 2.19 mg/100 g).",magnesium,40330203,0
this study evaluated the isolated effect of magnesium ion infusion on the shock intensity requirements for electrical defibrillation.,magnesium,9588660,0
"magnesium, potassium, calcium, copper and iron contents in the myocardium (at 0 min of perfusion) were measured by flame atomic absorption spectrophotometry.",magnesium,8317911,0
there was a significant positive correlation between fractional magnesium excretion and serum creatinine (r=0.379 p=0.003).,magnesium,24828469,0
renal and systemic magnesium metabolism during chronic continuous pth infusion in normal subjects.,magnesium,6738367,0
"meat-eaters were at risk of inadequate intakes of fiber, pufa, alpha-linolenic acid (ala), folate, vitamin d, e, calcium and magnesium.",magnesium,35010904,0
"compared with a placebo, iv magnesium reduced hospital admission and improved lung function.",magnesium,26303207,0
"sequential perfusion with amiloride, low chloride, and isoproterenol was tested in groups of subjects with cf, with the diluent containing different concentrations of calcium and magnesium, on different days.",magnesium,12947027,0
"examination of magnesium concentrations in the blood serum was carried out on a population of 246 patients 17-39 years old in pathologic/imminent abortion, imminent immature and premature labour and normal pregnancies as well as in first periods of parturition.",magnesium,8647501,0
"the primary endpoint was need for escalation in therapy within 24 hours of initial magnesium sulfate dose, defined as need for invasive or non-invasive mechanical ventilation or need for adjunctive therapy, that is, epinephrine, terbutaline, aminophylline, theophylline, ketamine, heliox, or additional doses of magnesium sulfate.",magnesium,32461745,0
much of the magnesium required for wood production was taken up from the soil because stored magnesium was largely used for canopy growth.,magnesium,28310368,0
the mean concentration of magnesium in the patients was 56.6 mug/ml (range 19-190) and in the controls 64.5 mug/ml (range 36-165).,magnesium,1209175,0
"over the survey cycles, both dietary and total magnesium intakes were significantly increased among hispanic adults.",magnesium,31766698,0
"[changes of potassium, sodium, calcium and magnesium levels in patients with various forms of jaundice].",magnesium,4755140,0
"crystalline desoxyribonuclease acts very slowly, if at all, in the absence of magnesium (or manganese) ions.",magnesium,15406374,0
long-term additional intake of a small dose of oral magnesium was not accompanied by any notable side effect.,magnesium,8135325,0
we also examine some of the research and guidelines pertaining to the use of magnesium sulfate in acute asthma.,magnesium,24487258,0
"these patients had lower levels of beta cross laps (0.77  +/- 0.33 ng/ml vs 1.17 +/- 0.47 ng/ml), osteocalcin (47.20 +/- 14.07 ng/ml vs 75.91 +/- 32.08 ng/ml), serum magnesium (0.79 +/- 0.05 mmol/l vs 0.83 +/- 0.06 mmol/l) and phosphorus (1.48 +/- 0.29 mmol/l vs 1.71 +/- 0.28 mmol/l) but higher ionized calcium (1.29 +/- 0.04 mmol/l vs 1.26 +/- 0.05 mmol/l), p < .05, compared to patients with bhi sds in the normal range.",magnesium,31599085,0
"the optimum magnesium concentration range for the lal reagent used and the optimum ph range were approximately 50 to 65 mm and ph 6.0 to 8.0, respectively.",magnesium,6859851,0
magnesium clearance normalized shortly after treatment but sodium clearance was significantly elevated 6 months after treatment.,magnesium,2840230,0
the magnesium content of duodenal mucosa in man.,magnesium,7357739,0
"the ""paired moving charge"" hypothesis has the attractive feature in that it involves antagonistic effects of calcium and magnesium.",magnesium,791245,0
"compared to current nonvegetarians, current vegetarians had lower intakes of protein, saturated fat, cholesterol, niacin, vitamins b12 and d, and higher fiber and magnesium intakes.",magnesium,11194532,0
magnesium deficiency in human subjects--a personal historical perspective.,magnesium,3989138,0
mechanistic evaluation of binary effects of magnesium stearate and talc as dissolution retardants at 85% drug loading in an experimental extended-release formulation.,magnesium,9344163,0
"patients with low magnesium status (n = 7) had significantly lower levels of cholesterol, hdl cholesterol, and apolipoprotein a-1 than those with normal magnesium status (n = 20); however, there were no significant differences between the groups in serum concentrations of magnesium and apolipoprotein b.",magnesium,7608827,0
"the percentages of intake lower than recommended were 79.5% for calories, 82.1% for total fibers, 89.7% for vitamin a, 100% for vitamin d, 87.2% for vitamin e, 100% for vitamin k, 71.8% for vitamin b5, 82.1% for vitamin b9, 76.9% for vitamin c, 92.3% for calcium, 61.5% for phosphorus, 97.4% for potassium, and 76.9% for magnesium.",magnesium,27019237,0
"the cd group had sodium and saturated fat intake above recommendations and low intake of unsaturated fat, vitamin d, e, selenium, magnesium, and dairy products; but higher intake of iron.",magnesium,29340457,0
creatine phosphokinase and magnesium tests showed significant differences between the positive and negative sars-cov-2 rnaaemia groups.,magnesium,33969515,0
"muscle potassium and sodium content, muscle [3h]ouabain binding capacity and serum potassium and sodium concentrations were determined in 10 patients with type 1 diabetes mellitus and in 5 controls before and after an euglycaemic, hyperinsulinaemic clamp, and after an intravenous magnesium load test.",magnesium,12751690,0
"there was a lower favorable intake of vitamins a, c, iron, and magnesium on wkns, after adjusting for 2000 kcal.",magnesium,35549621,0
this case offers unique insights into the importance of magnesium homeostasis in the gastrointestinal tract.,magnesium,27117800,0
the calculations show that mg doping leads to a decrease in lattice volume and causes obvious structure and coordination changes of magnesium-oxygen polyhedra.,magnesium,37630864,0
"aim: to investigate the effects on lung function of iv magnesium in acute exacerbations of copd (aecopd), when given in conjunction with standard bronchodilator therapy.",magnesium,26914296,0
"iv magnesium effectively reduced shivering, with epidural and intraperitoneal routes showing even greater efficacy.",magnesium,38873687,0
effects of dietary fibers on magnesium absorption in animals and humans.,magnesium,12514257,0
"methods: the records of 50 heart transplant patients on calcineurin inhibitors were reviewed to determine levels of serum magnesium and required replacement dose of magnesium, diuretic usage, and other laboratory values.",magnesium,10886578,0
"at the same time, magnesium prevents or almost completely removes the binding of exogenously added cyto-c.",magnesium,19016854,0
objectives: determine the eclampsia prevalence and factors associated with eclampsia and recurrent seizures in suriname and evaluate quality-of-care indicator 'magnesium sulfate (mgso4) coverage'.,magnesium,32979728,0
"furthermore, the glx/cr ratio significantly decreased after 3 months of treatment (all p < 0.05) in the magnesium valproate and lamotrigine groups, while the glx/cr ratio in the olanzapine group showed no significant change (p > 0.05).",magnesium,39251922,0
"in males, there was a significant weak correlation between calcium and magnesium intake and the ci, bai, avi, wwi, and bri.",magnesium,37159492,0
loading dose and maintenance doses of magnesium sulfate were administered to patients by combination of intravenous and intramuscular routes.,magnesium,26600638,0
